vertex ID,cs,positions,phenotype_id
1018,ENSG00000136682.grp_1.contained.ENST00000479583_L1_Quach_2016.monocyte_naive_txrev,[113483735],ENSG00000136682
1019,ENSG00000115687.grp_2.contained.ENST00000493544_L2_GENCORD.T-cell_txrev,"[241575810, 241651116, 241666394]",ENSG00000115687
1020,ENSG00000123992.grp_2.contained.ENST00000488051_L1_GTEx.esophagus_muscularis_txrev,[219391349],ENSG00000123992
1021,ENSG00000151689.grp_1.contained.ENST00000470892_L1_GTEx.brain_cerebellar_hemisphere_txrev,"[190354389, 190354888, 190355612, 190360026, 190366777]",ENSG00000151689
1022,ENSG00000068024.grp_1.contained.ENST00000493582_L1_GTEx.heart_left_ventricle_txrev,"[239093078, 239094707, 239097116, 239098926, 239101030, 239101379]",ENSG00000068024
1023,ENSG00000123992.grp_2.contained.ENST00000488051_L1_BrainSeq.brain_txrev,"[219378919, 219380546, 219418090]",ENSG00000123992
1024,ENSG00000169604.grp_1.contained.ENST00000463335_L1_GTEx.adrenal_gland_txrev,[69102986],ENSG00000169604
1025,ENSG00000197635.grp_1.contained.ENST00000434918_L1_GENCORD.fibroblast_txrev,[162047503],ENSG00000197635
1026,ENSG00000077044.grp_1.contained.ENST00000474488_L1_Schmiedel_2018.Tfh_memory_txrev,"[233406433, 233445599]",ENSG00000077044
1027,ENSG00000237940.grp_1.contained.ENST00000426962_L1_Schmiedel_2018.Treg_naive_txrev,[241185415],ENSG00000237940
1028,ENSG00000068024.grp_1.contained.ENST00000493582_L1_GTEx.adipose_visceral_txrev,"[239093078, 239094707, 239097116, 239098926, 239101030, 239101379]",ENSG00000068024
1029,ENSG00000152291.grp_2.contained.ENST00000409232_L1_GTEx.thyroid_txrev,"[85321516, 85322745]",ENSG00000152291
1030,ENSG00000119185.grp_2.contained.ENST00000464228_L1_GTEx.brain_hypothalamus_txrev,"[9408522, 9410317, 9410592, 9411584, 9412250, 9413460, 9414151, 9426749, 9428316, 9432799]",ENSG00000119185
1031,ENSG00000144579.grp_2.contained.ENST00000494067_L1_Alasoo_2018.macrophage_naive_txrev,"[218390700, 218397456, 218401481, 218401700, 218401909, 218403058, 218403190, 218403975, 218404080]",ENSG00000144579
1032,ENSG00000134324.grp_1.contained.ENST00000475286_L1_GTEx.brain_cortex_txrev,[11784824],ENSG00000134324
1033,ENSG00000168395.grp_2.contained.ENST00000486061_L1_GTEx.esophagus_gej_txrev,"[241726757, 241726779, 241728479, 241728673, 241729120]",ENSG00000168395
1034,ENSG00000115053.grp_2.contained.ENST00000466274_L1_GEUVADIS.LCL_txrev,"[231449579, 231451653, 231452313, 231454860, 231455699, 231456087, 231457246, 231457622]",ENSG00000115053
1035,ENSG00000152689.grp_2.contained.ENST00000482731_L3_GEUVADIS.LCL_txrev,"[33532968, 33534062, 33534496, 33535555, 33535943, 33538430, 33538452, 33539512, 33543280]",ENSG00000152689
1036,ENSG00000169604.grp_1.contained.ENST00000463335_L1_GTEx.skin_not_sun_exposed_txrev,"[69102986, 69103313]",ENSG00000169604
1037,ENSG00000115956.grp_1.contained.ENST00000234313_L1_Quach_2016.monocyte_LPS_txrev,"[68380815, 68382988, 68385160, 68386144, 68388306, 68388953, 68389306]",ENSG00000115956
1038,ENSG00000115761.grp_2.contained.ENST00000381685_L1_FUSION.muscle_naive_txrev,"[10656757, 10663724, 10663851, 10665848, 10681431, 10686935, 10687031, 10688524, 10692734]",ENSG00000115761
1039,ENSG00000115232.grp_1.contained.ENST00000397033_L1_GENCORD.LCL_txrev,[181273207],ENSG00000115232
1040,ENSG00000124006.grp_2.contained.ENST00000472388_L1_GTEx.pituitary_txrev,"[219543196, 219545466, 219556734, 219557307, 219559047]",ENSG00000124006
1041,ENSG00000115274.grp_1.contained.ENST00000471577_L1_GTEx.skin_sun_exposed_txrev,[74460131],ENSG00000115274
1042,ENSG00000196208.grp_2.contained.ENST00000472040_L1_ROSMAP.brain_naive_txrev,"[11607460, 11608459, 11611135, 11611327, 11611506, 11612193, 11612793]",ENSG00000196208
1043,ENSG00000240344.grp_1.contained.ENST00000470442_L1_TwinsUK.LCL_txrev,"[200867394, 200872011]",ENSG00000240344
1044,ENSG00000124006.grp_2.contained.ENST00000489804_L1_GTEx.artery_coronary_txrev,"[219549297, 219550873, 219550924, 219552544]",ENSG00000124006
1045,ENSG00000068724.grp_2.contained.ENST00000496991_L1_Schmiedel_2018.Treg_naive_txrev,[47051309],ENSG00000068724
1046,ENSG00000171853.grp_1.contained.ENST00000417243_L1_GTEx.esophagus_gej_txrev,[3465692],ENSG00000171853
1047,ENSG00000125618.grp_1.contained.ENST00000485840_L1_Quach_2016.monocyte_R848_txrev,"[113221073, 113221363, 113223445, 113232684, 113232816, 113235223, 113235767]",ENSG00000125618
1048,ENSG00000171853.grp_1.contained.ENST00000461577_L1_GTEx.nerve_tibial_txrev,"[3458753, 3459626, 3463058, 3463331, 3463394, 3463403, 3464497]",ENSG00000171853
1049,ENSG00000152689.grp_1.contained.ENST00000477927_L1_Alasoo_2018.macrophage_Salmonella_txrev,"[33531341, 33535209, 33539650, 33539888, 33545661, 33546340]",ENSG00000152689
1050,ENSG00000224376.grp_1.contained.ENST00000415129_L1_GTEx.LCL_txrev,"[231389380, 231394665]",ENSG00000224376
1051,ENSG00000072163.grp_2.contained.ENST00000324938_L3_TwinsUK.skin_txrev,[127648067],ENSG00000072163
1052,ENSG00000115274.grp_2.contained.ENST00000409493_L1_GTEx.testis_txrev,"[74528651, 74529049]",ENSG00000115274
1053,ENSG00000115232.grp_1.contained.ENST00000397033_L1_BLUEPRINT_PE.T-cell_txrev,"[181475487, 181476927, 181477992, 181478039, 181479488, 181485360, 181485720, 181486489, 181486625]",ENSG00000115232
1054,ENSG00000183281.grp_2.contained.ENST00000478636_L1_Schmiedel_2018.Th2_memory_txrev,"[86920194, 86931945, 86943945, 86945018, 86945884, 87009032]",ENSG00000183281
1055,ENSG00000154518.grp_1.contained.ENST00000497075_L1_GTEx.thyroid_txrev,"[175096011, 175178369]",ENSG00000154518
1056,ENSG00000171853.grp_2.contained.ENST00000497597_L2_GTEx.thyroid_txrev,"[3467143, 3468827, 3469903, 3470928, 3471072, 3472663, 3472959, 3473241]",ENSG00000171853
1057,ENSG00000115274.grp_2.contained.ENST00000471577_L2_GTEx.artery_coronary_txrev,"[73525724, 73546383, 73548087, 73549489]",ENSG00000115274
1058,ENSG00000154518.grp_2.contained.ENST00000497075_L1_FUSION.adipose_naive_txrev,"[175096011, 175165870, 175178369]",ENSG00000154518
1059,ENSG00000170802.grp_2.contained.ENST00000340553_L1_BLUEPRINT_PE.T-cell_txrev,[48346756],ENSG00000170802
1060,ENSG00000163359.grp_2.contained.ENST00000353578_L1_GTEx.fibroblast_txrev,"[236619742, 236670368]",ENSG00000163359
1061,ENSG00000163466.grp_1.contained.ENST00000465395_L1_GTEx.heart_atrial_appendage_txrev,"[218203057, 218205828, 218217396, 218237609, 218238857, 218240727, 218245998, 218248233, 218252759]",ENSG00000163466
1062,ENSG00000237940.grp_1.contained.ENST00000429456_L1_GTEx.LCL_txrev,[241971499],ENSG00000237940
1063,ENSG00000123977.grp_1.contained.ENST00000309931_L1_GENCORD.fibroblast_txrev,"[227911266, 227912222, 227916475, 227917299]",ENSG00000123977
1064,ENSG00000115687.grp_2.contained.ENST00000493544_L1_GTEx.testis_txrev,"[241133276, 241133281, 241133283, 241133491, 241133645, 241134724, 241135732, 241136208]",ENSG00000115687
1065,ENSG00000144579.grp_1.contained.ENST00000494067_L1_GTEx.breast_txrev,[218401700],ENSG00000144579
1066,ENSG00000168395.grp_2.contained.ENST00000486061_L1_GTEx.thyroid_txrev,[241705436],ENSG00000168395
1067,ENSG00000152689.grp_1.contained.ENST00000468856_L3_GEUVADIS.LCL_txrev,[33539512],ENSG00000152689
1068,ENSG00000171853.grp_2.contained.ENST00000417243_L1_GTEx.breast_txrev,"[3461039, 3465692, 3465931]",ENSG00000171853
1069,ENSG00000152689.grp_1.contained.ENST00000482857_L1_GTEx.heart_atrial_appendage_txrev,"[33536526, 33537896]",ENSG00000152689
1070,ENSG00000119185.grp_2.contained.ENST00000464228_L1_FUSION.adipose_naive_txrev,"[9408522, 9410317, 9410592, 9411584, 9412250, 9413460, 9414151]",ENSG00000119185
1071,ENSG00000152689.grp_1.contained.ENST00000402538_L1_GTEx.LCL_txrev,"[33537896, 33548469, 33550484, 33551676, 33551697, 33554542, 33557635, 33559304, 33559734]",ENSG00000152689
1072,ENSG00000068024.grp_2.contained.ENST00000493582_L1_FUSION.adipose_naive_txrev,"[239093078, 239094088, 239094707, 239096353, 239097116, 239098926, 239101030, 239101379]",ENSG00000068024
1073,ENSG00000151353.grp_2.contained.ENST00000432667_L2_Nedelec_2016.macrophage_Listeria_txrev,"[658381, 661770, 668596, 669739, 678241]",ENSG00000151353
1074,ENSG00000077044.grp_1.contained.ENST00000474488_L1_FUSION.adipose_naive_txrev,[233445599],ENSG00000077044
1075,ENSG00000152527.grp_2.contained.ENST00000405000_L1_GTEx.artery_tibial_txrev,"[43708597, 43715919]",ENSG00000152527
1076,ENSG00000168530.grp_2.contained.ENST00000352451_L1_GTEx.muscle_txrev,"[210282421, 210297588, 210300160, 210300187]",ENSG00000168530
1077,ENSG00000237940.grp_1.contained.ENST00000429456_L1_GTEx.pancreas_txrev,[241971499],ENSG00000237940
1078,ENSG00000143727.grp_2.contained.ENST00000484125_L1_Nedelec_2016.macrophage_Salmonella_txrev,"[256414, 267863, 272051]",ENSG00000143727
1079,ENSG00000124380.grp_1.contained.ENST00000450162_L1_GTEx.adipose_visceral_txrev,"[69883117, 69893476, 69904531, 69904659, 69906278, 69906932, 69914387]",ENSG00000124380
1080,ENSG00000072163.grp_2.contained.ENST00000324938_L1_GTEx.adipose_visceral_txrev,[127648067],ENSG00000072163
1081,ENSG00000198203.grp_2.contained.ENST00000326853_L1_FUSION.adipose_naive_txrev,"[108287884, 108296217, 108296556, 108296634]",ENSG00000198203
1082,ENSG00000055332.grp_2.contained.ENST00000395127_L1_Quach_2016.monocyte_LPS_txrev,[37149171],ENSG00000055332
1083,ENSG00000152291.grp_2.contained.ENST00000409232_L1_GTEx.artery_aorta_txrev,"[85321516, 85322745, 85328139]",ENSG00000152291
1084,ENSG00000171853.grp_2.contained.ENST00000493792_L1_GTEx.skin_not_sun_exposed_txrev,"[3489789, 3490386, 3490491, 3490530, 3490551, 3490594, 3490603]",ENSG00000171853
1085,ENSG00000196975.grp_2.contained.ENST00000418066_L1_GEUVADIS.LCL_txrev,[69832692],ENSG00000196975
1086,ENSG00000134324.grp_1.contained.ENST00000475922_L1_TwinsUK.fat_txrev,"[11783292, 11784824, 11787397, 11789273, 11792047, 11792209, 11796672]",ENSG00000134324
1087,ENSG00000171853.grp_1.contained.ENST00000417243_L1_GTEx.brain_putamen_txrev,[3465692],ENSG00000171853
1088,ENSG00000240344.grp_2.contained.ENST00000497263_L1_GTEx.prostate_txrev,[200877622],ENSG00000240344
1089,ENSG00000134324.grp_1.contained.ENST00000460096_L1_GTEx.lung_txrev,[11784824],ENSG00000134324
1090,ENSG00000155368.grp_2.contained.ENST00000542275_L1_GTEx.fibroblast_txrev,"[119363418, 119364258, 119364764, 119364964, 119365701, 119367787, 119372685, 119381366]",ENSG00000155368
1091,ENSG00000135966.grp_1.contained.ENST00000258449_L1_BLUEPRINT_SE.monocyte_txrev,"[105272382, 105273227, 105274514, 105281283, 105281507, 105282365, 105288205, 105290023]",ENSG00000135966
1092,ENSG00000197223.grp_1.contained.ENST00000355848_L1_BrainSeq.brain_txrev,"[68039039, 68046064, 68046586, 68049640, 68062936, 68063496, 68064428, 68065097, 68065805, 68067991]",ENSG00000197223
1093,ENSG00000168918.grp_1.contained.ENST00000491070_L1_GEUVADIS.LCL_txrev,[233206691],ENSG00000168918
1094,ENSG00000180902.grp_1.contained.ENST00000468064_L1_BLUEPRINT_SE.monocyte_txrev,[241758583],ENSG00000180902
1095,ENSG00000119185.grp_2.contained.ENST00000360635_L1_BrainSeq.brain_txrev,[9407234],ENSG00000119185
1096,ENSG00000173272.grp_1.contained.ENST00000427024_L2_GTEx.testis_txrev,"[131487239, 131516415, 131516421, 131525643]",ENSG00000173272
1097,ENSG00000123992.grp_1.contained.ENST00000488881_L1_GTEx.colon_sigmoid_txrev,[219391349],ENSG00000123992
1098,ENSG00000063660.grp_1.contained.ENST00000264039_L1_HipSci.iPSC_txrev,"[240464174, 240464820, 240467113, 240472226, 240476408, 240476621, 240478629, 240481209, 240482902]",ENSG00000063660
1099,ENSG00000138375.grp_2.contained.ENST00000430374_L1_FUSION.muscle_naive_txrev,"[216408473, 216410760, 216412526, 216414007]",ENSG00000138375
1100,ENSG00000118246.grp_2.contained.ENST00000236980_L1_GEUVADIS.LCL_txrev,"[206765747, 206877880]",ENSG00000118246
1101,ENSG00000123992.grp_1.contained.ENST00000488051_L1_BrainSeq.brain_txrev,"[219378919, 219380546, 219418090]",ENSG00000123992
1102,ENSG00000151353.grp_2.contained.ENST00000281017_L2_FUSION.adipose_naive_txrev,"[664719, 666343]",ENSG00000151353
1103,ENSG00000119729.grp_1.contained.ENST00000465198_L1_Quach_2016.monocyte_R848_txrev,[46583765],ENSG00000119729
1104,ENSG00000180902.grp_1.contained.ENST00000432449_L1_Quach_2016.monocyte_naive_txrev,"[241814768, 241816853, 241820738]",ENSG00000180902
1105,ENSG00000054356.grp_2.contained.ENST00000462351_L1_BrainSeq.brain_txrev,[219295922],ENSG00000054356
1106,ENSG00000072163.grp_1.contained.ENST00000426981_L1_GTEx.breast_txrev,"[127641317, 127641734]",ENSG00000072163
1107,ENSG00000118640.grp_1.contained.ENST00000432071_L1_GTEx.prostate_txrev,"[85565261, 85567174, 85567292]",ENSG00000118640
1108,ENSG00000144115.grp_1.contained.ENST00000475910_L1_ROSMAP.brain_naive_txrev,"[88161993, 88163636, 88165321, 88168057, 88168415, 88169585, 88170251, 88170344]",ENSG00000144115
1109,ENSG00000138400.grp_2.contained.ENST00000432911_L1_GEUVADIS.LCL_txrev,"[206765071, 206765097, 206765122, 206768278, 206781580, 206789990, 206806288]",ENSG00000138400
1110,ENSG00000115274.grp_2.contained.ENST00000233331_L1_GTEx.esophagus_muscularis_txrev,"[74412464, 74412510, 74417071]",ENSG00000115274
1111,ENSG00000118004.grp_1.contained.ENST00000416132_L1_GTEx.adipose_subcutaneous_txrev,"[3577209, 3580793]",ENSG00000118004
1112,ENSG00000079308.grp_1.contained.ENST00000646520_L1_GTEx.esophagus_muscularis_txrev,"[217829968, 217830379]",ENSG00000079308
1113,ENSG00000151353.grp_1.contained.ENST00000281017_L1_BrainSeq.brain_txrev,[678241],ENSG00000151353
1114,ENSG00000082438.grp_2.contained.ENST00000489955_L1_GTEx.adipose_subcutaneous_txrev,"[164646401, 164648331, 164684290, 164689105, 164694691, 164695843, 164697792, 164699029, 164701700, 164701705]",ENSG00000082438
1115,ENSG00000240344.grp_2.contained.ENST00000470442_L1_FUSION.adipose_naive_txrev,"[200867394, 200872011, 200877622, 200889340]",ENSG00000240344
1116,ENSG00000144115.grp_1.contained.ENST00000377254_L1_GTEx.heart_left_ventricle_txrev,"[88184590, 88187909]",ENSG00000144115
1117,ENSG00000151665.grp_1.contained.ENST00000482786_L1_ROSMAP.brain_naive_txrev,"[46577492, 46578769, 46578947, 46581104, 46591853]",ENSG00000151665
1118,ENSG00000138095.grp_1.contained.ENST00000260665_L1_GTEx.esophagus_mucosa_txrev,"[43895934, 43896533, 43906635, 43908636, 43916077, 43916617, 43918235, 43924669, 43926543]",ENSG00000138095
1119,ENSG00000035115.grp_2.contained.ENST00000626873_L1_GTEx.brain_putamen_txrev,[242793],ENSG00000035115
1120,ENSG00000082438.grp_1.contained.ENST00000489955_L1_GTEx.nerve_tibial_txrev,"[164684290, 164689105, 164692059, 164694691, 164695843, 164697792, 164701700, 164701705]",ENSG00000082438
1121,ENSG00000030419.grp_2.contained.ENST00000484040_L1_Schmiedel_2018.Treg_naive_txrev,"[213032584, 213037818, 213059191]",ENSG00000030419
1122,ENSG00000163516.grp_1.contained.ENST00000477479_L1_GTEx.adipose_subcutaneous_txrev,[220103488],ENSG00000163516
1123,ENSG00000144034.grp_2.contained.ENST00000497464_L2_GTEx.brain_amygdala_txrev,"[73860163, 73881481, 73892492, 73893297, 73893658]",ENSG00000144034
1124,ENSG00000124006.grp_1.contained.ENST00000404537_L1_GTEx.spleen_txrev,"[219562625, 219562706]",ENSG00000124006
1125,ENSG00000115233.grp_2.contained.ENST00000492908_L1_Quach_2016.monocyte_LPS_txrev,"[161250784, 161296530, 161298251, 161311171, 161401922, 161407333]",ENSG00000115233
1126,ENSG00000115350.grp_1.contained.ENST00000473023_L1_GTEx.LCL_txrev,[74958729],ENSG00000115350
1127,ENSG00000115594.grp_2.contained.ENST00000452403_L1_Quach_2016.monocyte_Pam3CSK4_txrev,"[102135144, 102139835, 102142833, 102147500, 102152913, 102156209, 102158704]",ENSG00000115594
1128,ENSG00000035115.grp_2.contained.ENST00000626873_L1_BLUEPRINT_SE.monocyte_txrev,[242793],ENSG00000035115
1129,ENSG00000171853.grp_2.contained.ENST00000479897_L1_GTEx.uterus_txrev,"[3983750, 4004055, 4083411]",ENSG00000171853
1130,ENSG00000124006.grp_2.contained.ENST00000462385_L1_GTEx.esophagus_mucosa_txrev,"[219562625, 219562706]",ENSG00000124006
1131,ENSG00000144028.grp_1.contained.ENST00000480615_L1_Quach_2016.monocyte_naive_txrev,"[96267615, 96284617, 96346354, 96356796, 96361965, 96383461]",ENSG00000144028
1132,ENSG00000144579.grp_2.contained.ENST00000482272_L1_BLUEPRINT_SE.neutrophil_txrev,"[218399384, 218401481, 218401909, 218403058, 218403190]",ENSG00000144579
1133,ENSG00000151353.grp_2.contained.ENST00000497508_L1_GTEx.artery_aorta_txrev,[710027],ENSG00000151353
1134,ENSG00000134330.grp_1.contained.ENST00000495050_L1_Quach_2016.monocyte_LPS_txrev,"[9486236, 9487133, 9489814, 9490115, 9491593, 9500088, 9500397, 9505660, 9507234, 9507480]",ENSG00000134330
1135,ENSG00000240344.grp_2.contained.ENST00000497263_L1_GENCORD.fibroblast_txrev,"[200867394, 200872011]",ENSG00000240344
1136,ENSG00000063660.grp_2.contained.ENST00000264039_L2_ROSMAP.brain_naive_txrev,"[240462987, 240464000, 240466062, 240466191, 240466447, 240466770]",ENSG00000063660
1137,ENSG00000118640.grp_2.contained.ENST00000409760_L1_TwinsUK.LCL_txrev,"[85578531, 85579143, 85582547, 85582580]",ENSG00000118640
1138,ENSG00000124006.grp_2.contained.ENST00000472388_L1_HipSci.iPSC_txrev,"[219543196, 219545466, 219556734, 219557307, 219559047]",ENSG00000124006
1139,ENSG00000072163.grp_2.contained.ENST00000324938_L2_GTEx.colon_transverse_txrev,"[127638101, 127641317, 127641734]",ENSG00000072163
1140,ENSG00000183281.grp_1.contained.ENST00000409310_L1_GTEx.nerve_tibial_txrev,[87078688],ENSG00000183281
1141,ENSG00000124006.grp_2.contained.ENST00000472388_L1_GTEx.colon_transverse_txrev,"[219556734, 219557307, 219559047]",ENSG00000124006
1142,ENSG00000072163.grp_2.contained.ENST00000469300_L1_GTEx.spleen_txrev,"[127641317, 127641734]",ENSG00000072163
1143,ENSG00000123607.grp_2.contained.ENST00000486672_L1_GTEx.testis_txrev,"[165863084, 165863636, 165864741, 165867464, 165873172, 165878971]",ENSG00000123607
1144,ENSG00000064012.grp_2.contained.ENST00000339403_L1_GTEx.artery_tibial_txrev,"[201279205, 201286440, 201288502, 201288961, 201289197, 201300483, 201311301, 201311571, 201316524]",ENSG00000064012
1145,ENSG00000228784.grp_2.contained.ENST00000649549_L1_Schmiedel_2018.NK-cell_naive_txrev,"[19876052, 19877098]",ENSG00000228784
1146,ENSG00000162882.grp_1.contained.ENST00000406007_L1_GTEx.artery_aorta_txrev,"[42770474, 42772307]",ENSG00000162882
1147,ENSG00000169604.grp_2.contained.ENST00000463335_L1_Alasoo_2018.macrophage_naive_txrev,"[69103152, 69103884, 69104008, 69104208, 69107852]",ENSG00000169604
1148,ENSG00000171853.grp_2.contained.ENST00000479955_L2_GTEx.testis_txrev,"[3419437, 3428517, 3429679, 3430100, 3431264, 3453345]",ENSG00000171853
1149,ENSG00000138031.grp_2.contained.ENST00000479517_L1_Quach_2016.monocyte_naive_txrev,[24843117],ENSG00000138031
1150,ENSG00000169016.grp_1.contained.ENST00000471343_L1_FUSION.adipose_naive_txrev,"[11440443, 11451343, 11460314, 11461351]",ENSG00000169016
1151,ENSG00000115274.grp_1.contained.ENST00000409493_L1_GTEx.artery_coronary_txrev,"[74437340, 74460131, 74528651, 74529049]",ENSG00000115274
1152,ENSG00000068024.grp_2.contained.ENST00000493582_L1_GTEx.artery_coronary_txrev,"[239093078, 239094088, 239094707, 239097116, 239101030]",ENSG00000068024
1153,ENSG00000163803.grp_2.contained.ENST00000436775_L1_BLUEPRINT_SE.monocyte_txrev,"[28638791, 28639207, 28639408, 28640872, 28642280, 28642598, 28644733]",ENSG00000163803
1154,ENSG00000151353.grp_2.contained.ENST00000432667_L1_GTEx.nerve_tibial_txrev,[674963],ENSG00000151353
1155,ENSG00000151353.grp_1.contained.ENST00000281017_L1_GEUVADIS.LCL_txrev,"[661770, 668596, 669739, 678241]",ENSG00000151353
1156,ENSG00000138031.grp_1.contained.ENST00000260600_L1_FUSION.muscle_naive_txrev,"[24836122, 24839257, 24839451, 24841324]",ENSG00000138031
1157,ENSG00000169604.grp_1.contained.ENST00000303714_L1_GTEx.lung_txrev,[69103152],ENSG00000169604
1158,ENSG00000072163.grp_1.contained.ENST00000426981_L1_GTEx.adipose_subcutaneous_txrev,"[127633013, 127641317, 127641734]",ENSG00000072163
1159,ENSG00000124370.grp_2.contained.ENST00000462609_L1_FUSION.muscle_naive_txrev,"[71065572, 71066480, 71067352, 71078326, 71130287, 71130504]",ENSG00000124370
1160,ENSG00000144115.grp_1.contained.ENST00000343544_L1_Lepik_2017.blood_txrev,"[88153919, 88204912]",ENSG00000144115
1161,ENSG00000168894.grp_2.contained.ENST00000306368_L1_GTEx.muscle_txrev,"[85596044, 85596961, 85599009, 85600891, 85619962, 85626340, 85627353, 85633105, 85646921, 85649101]",ENSG00000168894
1162,ENSG00000151353.grp_2.contained.ENST00000497508_L1_GTEx.esophagus_gej_txrev,[710027],ENSG00000151353
1163,ENSG00000119147.grp_2.contained.ENST00000409944_L1_GTEx.thyroid_txrev,[106073280],ENSG00000119147
1164,ENSG00000171853.grp_1.contained.ENST00000489032_L1_GTEx.adrenal_gland_txrev,"[3472526, 3475966, 3477760, 3479942, 3480101, 3481432]",ENSG00000171853
1165,ENSG00000072163.grp_2.contained.ENST00000469300_L1_GTEx.skin_not_sun_exposed_txrev,"[127641317, 127641734]",ENSG00000072163
1166,ENSG00000124006.grp_2.contained.ENST00000373876_L2_GTEx.skin_sun_exposed_txrev,"[219559984, 219562625, 219562673, 219562706, 219565956]",ENSG00000124006
1167,ENSG00000115239.grp_1.contained.ENST00000470707_L1_GTEx.stomach_txrev,"[52827441, 53165523]",ENSG00000115239
1168,ENSG00000155368.grp_2.contained.ENST00000627305_L2_Quach_2016.monocyte_LPS_txrev,"[119367453, 119368360, 119381498, 119395089, 119397723]",ENSG00000155368
1169,ENSG00000072163.grp_2.contained.ENST00000426981_L1_GTEx.colon_sigmoid_txrev,"[127641317, 127641734]",ENSG00000072163
1170,ENSG00000072163.grp_1.contained.ENST00000409286_L1_GTEx.stomach_txrev,"[127628675, 127632003, 127633013, 127641734]",ENSG00000072163
1171,ENSG00000124006.grp_2.contained.ENST00000373876_L1_GTEx.fibroblast_txrev,[219562706],ENSG00000124006
1172,ENSG00000143727.grp_2.contained.ENST00000484125_L1_GTEx.heart_left_ventricle_txrev,"[256414, 272051]",ENSG00000143727
1173,ENSG00000189223.grp_1.contained.ENST00000613966_L1_GTEx.skin_not_sun_exposed_txrev,[113238217],ENSG00000189223
1174,ENSG00000119147.grp_1.contained.ENST00000493478_L1_FUSION.adipose_naive_txrev,"[106071000, 106073280]",ENSG00000119147
1175,ENSG00000157827.grp_2.contained.ENST00000288670_L1_Quach_2016.monocyte_R848_txrev,"[152425712, 152432458]",ENSG00000157827
1176,ENSG00000171853.grp_2.contained.ENST00000417243_L1_GTEx.lung_txrev,[3465692],ENSG00000171853
1177,ENSG00000123607.grp_2.contained.ENST00000486672_L1_GTEx.pituitary_txrev,"[165863084, 165863636, 165864741, 165867464, 165873172, 165878971]",ENSG00000123607
1178,ENSG00000162882.grp_1.contained.ENST00000406007_L1_GTEx.artery_tibial_txrev,"[42770474, 42772307]",ENSG00000162882
1179,ENSG00000155368.grp_2.contained.ENST00000627305_L1_HipSci.iPSC_txrev,"[119367453, 119368360, 119374007, 119381498, 119395089, 119397723, 119397817]",ENSG00000155368
1180,ENSG00000136682.grp_1.contained.ENST00000479583_L1_Quach_2016.monocyte_IAV_txrev,[113483735],ENSG00000136682
1181,ENSG00000123992.grp_1.contained.ENST00000523527_L1_GTEx.thyroid_txrev,"[219380926, 219382919, 219395924, 219397476, 219399651, 219402605, 219402790]",ENSG00000123992
1182,ENSG00000151353.grp_2.contained.ENST00000281017_L1_GTEx.muscle_txrev,[674963],ENSG00000151353
1183,ENSG00000171853.grp_1.contained.ENST00000417243_L1_GTEx.heart_atrial_appendage_txrev,"[3465692, 3465931, 3466415]",ENSG00000171853
1184,ENSG00000115073.grp_1.contained.ENST00000289228_L1_GTEx.brain_frontal_cortex_txrev,"[97003208, 97080789, 97113750, 97226075, 97658891]",ENSG00000115073
1185,ENSG00000228784.grp_2.contained.ENST00000649549_L1_Quach_2016.monocyte_LPS_txrev,"[19876052, 19877098, 19916535, 19916771, 19958384, 20004137, 20009334, 20022572, 20035874, 20106506]",ENSG00000228784
1186,ENSG00000118640.grp_2.contained.ENST00000263864_L1_GTEx.spleen_txrev,"[85581450, 85581748, 85582832]",ENSG00000118640
1187,ENSG00000134324.grp_1.contained.ENST00000475922_L1_Schmiedel_2018.Th17_memory_txrev,[11784824],ENSG00000134324
1188,ENSG00000115825.grp_2.contained.ENST00000464552_L1_GTEx.esophagus_mucosa_txrev,"[37255382, 37267448, 37269133, 37291573, 37292639, 37313298, 37314683, 37322461]",ENSG00000115825
1189,ENSG00000240344.grp_1.contained.ENST00000497263_L1_GTEx.brain_hippocampus_txrev,"[200867394, 200872011, 200877622, 200889340, 201139467, 201141373, 201147345, 201149515, 201150391, 201150527]",ENSG00000240344
1190,ENSG00000152253.grp_2.contained.ENST00000472216_L1_GTEx.heart_left_ventricle_txrev,"[168850752, 168864871, 168882029, 168887282, 168888041]",ENSG00000152253
1191,ENSG00000152527.grp_1.contained.ENST00000405000_L1_GTEx.skin_sun_exposed_txrev,"[43708734, 43711619, 43713393, 43714392]",ENSG00000152527
1192,ENSG00000171853.grp_2.contained.ENST00000469147_L1_Quach_2016.monocyte_naive_txrev,"[3468827, 3469903, 3470928, 3471072, 3472663, 3472959, 3473241, 3473475]",ENSG00000171853
1193,ENSG00000115107.grp_2.contained.ENST00000393106_L1_GTEx.pancreas_txrev,"[119230989, 119232020]",ENSG00000115107
1194,ENSG00000152253.grp_2.contained.ENST00000451987_L1_GTEx.nerve_tibial_txrev,"[168864871, 168865434, 168866913, 168873143, 168873339, 168877958, 168882029]",ENSG00000152253
1195,ENSG00000068024.grp_2.contained.ENST00000493582_L1_GEUVADIS.LCL_txrev,"[239093078, 239094088, 239094707, 239096353, 239098926, 239101030]",ENSG00000068024
1196,ENSG00000143727.grp_2.contained.ENST00000484125_L1_GTEx.brain_hippocampus_txrev,"[256414, 272051]",ENSG00000143727
